run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260916-222735	feature_only	1	16883	2032883	162	FISH_STINGRAY	MALE	140	116	94	13,28,0,-1,-1,6	feature	29034	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	163	ALLIGATOR	FEMALE	152	89	94	13,28,0,-1,-1,4	feature	22536	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	164	ALLIGATOR	MALE	154	88	94	13,28,0,-1,-1,4	feature	25426	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	165	HIPPO	FEMALE	147	114	94	13,28,0,-1,-1,5	feature	26786	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	166	HIPPO	FEMALE	149	116	94	13,28,0,-1,-1,5	feature	21196	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	167	HIPPO	MALE	145	115	94	13,28,0,-1,-1,5	feature	26547	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	168	HIPPO	FEMALE	148	114	94	13,28,0,-1,-1,5	feature	27011	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	178	WEASEL	FEMALE	190	119	95	13,28,-1,-1,-1,170	surface	26718	0	1	1	0	0	-1	0	1
20260916-222735	feature_only	1	16883	2032883	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	78	191	82	12,28,-1,2,-1,18	cavern	24060	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	162	FISH_STINGRAY	MALE	148	114	94	13,28,0,-1,-1,6	feature	28652	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	163	ALLIGATOR	FEMALE	146	95	95	13,28,0,-1,-1,4	feature	22154	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	164	ALLIGATOR	MALE	152	89	94	13,28,0,-1,-1,4	feature	25044	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	165	HIPPO	FEMALE	141	108	95	13,28,0,-1,-1,5	feature	26404	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	166	HIPPO	FEMALE	148	116	94	13,28,0,-1,-1,5	feature	20814	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	167	HIPPO	MALE	149	116	94	13,28,0,-1,-1,5	feature	26165	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	168	HIPPO	FEMALE	147	114	94	13,28,0,-1,-1,5	feature	26629	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	178	WEASEL	FEMALE	158	134	95	13,28,-1,-1,-1,170	surface	26336	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	78	179	83	12,28,-1,2,-1,18	cavern	23678	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	180	JABBERER	FEMALE	61	182	78	12,28,-1,14,-1,0	cavern	25299	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	181	TROLL	MALE	19	190	49	12,28,-1,23,-1,25	cavern	29261	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	182	DEMON_14	DEFAULT	118	7	5	12,28,-1,41,-1,1	cavern	21779	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	183	DEMON_14	DEFAULT	114	2	5	12,28,-1,41,-1,1	cavern	27411	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	184	TROLL	FEMALE	0	160	82	12,28,-1,2,-1,26	cavern	22716	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	185	SPIDER_CAVE_GIANT	FEMALE	167	0	77	12,27,-1,14,-1,10	cavern	21127	0	1	0	0	0	-1	0	1
20260916-222735	feature_only	1	17265	2033265	186	GORLAK	MALE	191	11	84	13,28,-1,2,-1,27	cavern	27915	0	1	0	0	1	-1	0	1
20260916-222735	feature_only	1	17601	2033601	162	FISH_STINGRAY	MALE	154	107	94	13,28,0,-1,-1,6	feature	28316	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17601	2033601	163	ALLIGATOR	FEMALE	139	101	95	13,28,0,-1,-1,4	feature	21818	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17601	2033601	164	ALLIGATOR	MALE	149	92	95	13,28,0,-1,-1,4	feature	24708	0	0	0	0	0	-1	0	1
20260916-222735	feature_only	1	17601	2033601	165	HIPPO	FEMALE	138	108	95	13,28,0,-1,-1,5	feature	26068	0	0	0	0	0	-1	0	1
